date	history_period	vpc_id	history_id	id	related_book_id	fragments	persons	short_title	title	type	text	strange_field	vol_id	part_id	chapter_id
1.03.1805	Март 1805		1	1001	1008	11, 13, 20, 1251		Казнь герцога Энгиенского	Казнь герцога Энгиенского	И	Упоминается герцог Энгиенский — Луи-Антуан-Анри де Бурбон-Конде (1772—1804), принц дома Конде (боковой ветви Бурбонов) — после падения Бастилии эмигрировал, сражался в роялистской армии против революционной Франции. После Люневильского мира 1801 года жил Баденском герцогстве. В марте 1804 г. он был арестован отрядом французских конных жандармов, вторгшихся для этого в Баденское герцогство. Обвинен военным судом в заговоре против Наполеона и расстрелян во рву Венсенского замка. Эта казнь вызвала возмущение в Европе, на официальном уровне резко выступил российский император. Александр I отправил Наполеону ноту протеста, на которую получил оскарбительный ответ. С этого эпизода принято отсчитывать начало личного конфликта между Александром и Наполеоном.				
1.07.1805	Июль 1805	1101		1002				Разговор о Наполеоне	Разговор о Наполеоне	Л	Gênes et Lueques ne sont plus que des apanages, des поместья, de la famille Buonaparte. Non, je vous préviens que si vous ne me dites pas que nous avons la guerre, si vous vous permettez encore de pallier toutes les infamies, toutes les atrocités de cet Antichrist (ma parole, j'y crois) - je ne vous connais plus, vous n'êtes plus mon ami, vous n'êtes plus мой верный раб		1	1	1
1.05.1805	Май 1805		2	1003	1002	1, 11, 13, 18, 19, 19, 20, 21, 22		Разговор о Наполеоне	Разговор о Наполеоне	И	Обсуждается экспансия Наполеона в Европе. Весной 1805 года император Наполеон основал Итальянское Королевство (вместо подконтрольной Франции Итальянской Республики). Некоторые итальянские земли летом 1805 года в виде отдельных монархий были отданы членам семьи Бонапартов (так, княжество Лукка было отдано сестре Бонапарта Элизе). Бывшая Генуэзская республика (при французах «Лигурийская республика») в июне 1805 года была аннексирована Францией и превратилась в один из департаментов империи. Эти события сорвали попытки переговоров между Францией и Англией и ускорили присоединение России к антифранцузской коалиции.   				
1.07.1805	Июль 1805	1101		1004				Присоединение Австрии к союзу	Присоединение Австрии к союзному договору	Л	- Ах, не говорите мне про Австрию! Я ничего не понимаю, может быть, но Австрия никогда не хотела и не хочет войны. Она предает нас. Россия одна должна быть спасительницей Европы. 		1	1	1
1.07.1805	Июль 1805		3	1005		26, 66,103		Подготовка к войне против Наполеона	Подготовка к войне против Наполеона	И	 В июле 1805 года австрийский придворный военный совет (Гофкригсрат) согласовал с российским императором план совместных действий против Наполеона. Под видом «вооруженного посредничества» в переговорах Франции и Англии союзники готовили развертывание от Балтики до Адриатики полумиллионной вооруженной группировки австрийцев, русских, англичан, итальянцев и пруссаков (на последних предполагалось оказать вооруженное давление, чтобы вовлечь Пруссию в союз против Наполеона).   				
1.07.1805	Июль 1805	1103		1006				Салон Анны Павловны Шерер	Салон Анны Павловны Шерер	Л	Как хозяин прядильной мастерской, посадив работников по местам, прохаживается по заведению, замечая неподвижность или непривычный, скрипящий, слишком громкий звук веретена, торопливо идет, сдерживает или пускает его в надлежащий ход,- так и Анна Павловна, прохаживаясь по своей гостиной, подходила к замолкнувшему или слишком много говорившему кружку и одним словом или перемещением опять заводила равномерную, приличную разговорную машину. Но среди этих забот все виден был в ней особенный страх за Пьера. Она заботливо поглядывала на него в то время, как он подошел послушать то, что говорилось около Мортемара, и отошел к другому кружку, где говорил аббат.		1	1	3
28.07.1805	Июль 1805		4	1007	1004			Присоединение Австрии к союзу	Присоединение Австрии к союзному договору	И	28 июля (9 августа по новому стилю) 1805 года Австрия официально присоединилась к союзному договору Англии и России против Франции.				
1.07.1805	Июль 1805	1103		1008				Казнь герцога Энгиенского	Казнь герцога Энгиенского	Л	В кружке Мортемара заговорили тотчас об убиении герцога Энгиенского. Виконт сказал, что герцог Энгиенский погиб от своего великодушия и что были особенные причины озлобления Бонапарта.		1	1	3
1.08.1805	Август 1805		5	1009	1010	32, 33, 34, 35, 38, 55, 64 		Репутация Пьера в свете	Репутация Пьера в свете	И	Некоторые подробности биографии Пьера Лев Толстой позаимствовал у своего предка. В августе 1805 года в лейб-гвардии Преображенский полк поступили сведения о том, что поручик Федор Толстой, участвовавший в экспедиции Крузенштерна вокруг света, был ссажен на берег за хулиганское поведение на борту. В полку решили перевести Толстого из гвардии в гарнизон Нейшлотской крепости. Тем временем сам Толстой с Дальнего Востока через всю Сибирь пробирался своим ходом назад, в Петербург. 				
1.08.1805	Август 1805	1107		1010				Репутация Пьера в свете	Репутация Пьера в свете	Л	<p id="p353">- Вот нынешнее воспитание! Еще за границей,- продолжала гостья,- этот молодой человек предоставлен был самому себе, и теперь в Петербурге, говорят, он такие ужасы наделал, что его с полицией выслали оттуда.</p>       <p id="p354">- Скажите! - сказала графиня.</p>       <p id="p355">- Он дурно выбирал свои знакомства,- вмешалась княгиня Анна Михайловна.- Сын князя Василия, он и один Долохов, они, говорят, бог знает что делали. И оба пострадали. Долохов разжалован в солдаты, а сын Безухова выслан в Москву. Анатоля Курагина - того отец как-то замял. Но выслали-таки из Петербурга.</p>		1	1	7
