history_date	book_date	history_period	history_id	id	chapters
1.03.1805		Март 1804	1	1001	нет
1.05.1805		Май 1805	2	1003	нет
1.07.1805		Июль 1805	3	1005	
	7.07.1805	Июль 1805			1101-1106
28.07.1805		Июль 1805	4	1007	
1.08.1805		Август 1805	5	1009	
1.08.1805		Август 1805	6	1011	
15.08.1805		Август 1805	7	1013	
	26.08.1805	Август 1805			1107-1121
09.09.1805		Сентябрь 1805	8	1014	
11.09.1805		Сентябрь 1805	9	1015	1122-1125
08.10.1805		Октябрь 1805	10	1017	1204-1205
09.10.1805		Октябрь 1805	11	1019	
	11.10.1805	Октябрь 1805			1201-1203
19.10.1805		Октябрь 1805	12	1021	1301
20.10.1805		Октябрь 1805	13	1022	
	23.10.1805	Октябрь 1805			1206-1208
30.10.1805		Октябрь 1805	14	1024	1209, 1210
01.11.1805		Ноябрь 1805	15	1028	1211,1212,1214
02.11.1805		Ноябрь 1805	16	1030	1213
03.10.1805		Ноябрь 1805	17	1032	
04.11.1805		Ноябрь 1805	18	1036	1215-1221
	12.11.1805	Ноябрь 1805			1302, 1307
	13.11.1805	Ноябрь 1805			1308
	14.11.1805	Ноябрь 1805			1309
	16.11.1805	Ноябрь 1805			1310
	17.11.1805	Ноябрь 1805			1311
	19.11.1805	Ноябрь 1805			1311-1313
20.11.1805		Ноябрь 1805	19	1041	1314-1319
	15.11.1805	Ноябрь 1805			1306
	15.12.1805	Декабрь 1805			1303-1305
01.01.1806		Январь 1806	20	1045	1302, 2101, 
23.01.1806		Январь 1806	21	1046	2107
01.02.1806		Февраль 1806	22	1047	
01.03.1806		Март 1806	23	1049	2102
	3.03.1805	Март 1806			2103, 2104
	4.03.1805	Март 1806			2104, 2105
	5.03.1805	Март 1806			2106
	6.03.1805	Март 1806			2106
	13.03.1805				2201, 2202
	19.03.1805	Март 1806			2108, 2109
25.03.1806		Март 1806	24	1050	2203-2205
12.07.1806		Июль 1806	26	1056	2110
01.09.1806		Август 1806	27	1057	
01.10.1806		Октябрь 1806	28	1058	
01.11.1806		Ноябрь 1806	29	1059	
21.11.1806		Ноябрь 1806	30	1060	
01.12.1806		Декабрь 1806	31	1061	2110
	27.12.1806	Декабрь 1806			2111, 2112, 2206, 2207
	13.01.1807	Январь 1807			2113-2116
26.01.1807		Январь 1807	32	1062	
	26.02.1807	Февраль 1807			2208-2209
	1.04.1807	Апрель 1807			2210-2215, 2216, 2217
30.05.1807		Май 1807	33	1064	2210-2215
02.06.1807		Июнь 1807	34	1065	2216-2218
10.06.1807		Июнь 1807	35	1068	
	24.06.1807	Июнь 1807			2219-2221
24.08.1807		Август 1807	36	1071	
01.09.1807		Сентябрь 1807	37	1072	
01.10.1807		Октябрь 1807	38	1073	
01.11.1807		Ноябрь 1807	39	1074	
01.01.1808		Январь 1808	40	1075	
1.02.1808		Февраль 1808	41	1077	
01.03.1808		Март 1808	42	1078	
02.05.1808		Май 1808	43	1079	
10.05.1808		Май 1808	44	1080	
23.07.1808		Июль 1808	45	1081	
01.09.1808		Сентябрь 1808	46	1082	
30.09.1808		Сентябрь 1808	47	1085	
01.10.1808		Октябрь 1808	48	1086	
01.11.1808		Ноябрь 1808	49	1087	
4.12.1808		Декабрь 1808	50	1088	
27.01.1809		Январь 1809	51	1089	
01.03.1809		Март 1809	52	1090	2301
12.03.1809		Март 1809	53	1091	2301
13.03.1809		Март 1809	54	1092	2301
14.04.1809		Апрель 1809	55	1093	2301
13.05.1809		Май 1809	56	1094	2301-2303
21.05.1809		Май 1809	57	1096	
