id	url_id	quote	newquote	url_site_id
0	timeline_new_2	Gênes et Lueques ne sont plus que des apanages, des поместья, de la famille Buonaparte. Non, je vous préviens que si vous ne me dites pas que nous avons la guerre, si vous vous permettez encore de pallier toutes les infamies, toutes les atrocités de cet Antichrist (ma parole, j'y crois) - je ne vous connais plus, vous n'êtes plus mon ami, vous n'êtes plus мой верный раб	Gênes et Lueques ne sont plus que des apanages, des поместья, de la famille Buonaparte. Non, je vous préviens que si vous ne me dites pas que nous avons la guerre, si vous vous permettez encore de pallier toutes les infamies, toutes les atrocités de cet Antichrist (ma parole, j'y crois) - je ne vous connais plus, vous n'êtes plus mon ami, vous n'êtes plus мой верный раб	time_tom_1p_1c_1f_1
1	timeline_new_4	- Ах, не говорите мне про Австрию! Я ничего не понимаю, может быть, но Австрия никогда не хотела и не хочет войны. Она предает нас. Россия одна должна быть спасительницей Европы. 	- Ах, не говорите мне про Австрию! Я ничего не понимаю, может быть, но Австрия никогда не хотела и не хочет войны. Она предает нас. Россия одна должна быть спасительницей Европы.	time_tom_1p_1c_1f_3
2	timeline_new_6	Как хозяин прядильной мастерской, посадив работников по местам, прохаживается по                    заведению,                    замечая неподвижность или непривычный, скрипящий, слишком громкий звук веретена, торопливо идет,                    сдерживает или пускает его в надлежащий ход,- так и Анна Павловна, прохаживаясь по своей гостиной,                    подходила к замолкнувшему или слишком много говорившему кружку и одним словом или перемещением опять                    заводила равномерную, приличную разговорную машину. Но среди этих забот все виден был в ней                    особенный                    страх за Пьера. Она заботливо поглядывала на него в то время, как он подошел послушать то, что                    говорилось около Мортемара, и отошел к другому кружку, где говорил аббат.	Как хозяин прядильной мастерской, посадив работников по местам, прохаживается по заведению, замечая неподвижность или непривычный, скрипящий, слишком громкий звук веретена, торопливо идет, сдерживает или пускает его в надлежащий ход,- так и Анна Павловна, прохаживаясь по своей гостиной, подходила к замолкнувшему или слишком много говорившему кружку и одним словом или перемещением опять заводила равномерную, приличную разговорную машину. Но среди этих забот все виден был в ней особенный страх за Пьера. Она заботливо поглядывала на него в то время, как он подошел послушать то, что говорилось около Мортемара, и отошел к другому кружку, где говорил аббат.	time_tom_1p_1c_2f_10
3	timeline_new_8	В кружке Мортемара заговорили тотчас об убиении герцога Энгиенского. Виконт сказал, что герцог Энгиенский погиб от своего великодушия и что были особенные причины озлобления Бонапарта.	В кружке Мортемара заговорили тотчас об убиении герцога Энгиенского. Виконт сказал, что герцог Энгиенский погиб от своего великодушия и что были особенные причины озлобления Бонапарта.	time_tom_1p_1c_3f_11
4	timeline_new_10	<p id="p353">- Вот нынешнее воспитание! Еще за границей,- продолжала гостья,- этот молодой человек предоставлен был самому себе, и теперь в Петербурге, говорят, он такие ужасы наделал, что его с полицией выслали оттуда.</p>      <p id="p354">- Скажите! - сказала графиня.</p>      <p id="p355">- Он дурно выбирал свои знакомства,- вмешалась княгиня Анна Михайловна.- Сын князя Василия, он и один Долохов, они, говорят, бог знает что делали. И оба пострадали. Долохов разжалован в солдаты, а сын Безухова выслан в Москву. Анатоля Курагина - того отец как-то замял. Но выслали-таки из Петербурга.</p>	- Он дурно выбирал свои знакомства,- вмешалась княгиня Анна Михайловна.- Сын князя Василия, он и один Долохов, они, говорят, бог знает что делали. И оба пострадали. Долохов разжалован в солдаты, а сын Безухова выслан в Москву. Анатоля Курагина - того отец как-то замял. Но выслали-таки из Петербурга.	time_tom_1p_1c_7f_38
5	timeline_new_12	 <p id="p378">Черноглазая, с большим ртом, некрасивая, но живая девочка, с своими детскими открытыми плечиками, выскочившими из корсажа от быстрого бега, с своими сбившимися назад черными кудрями, тоненькими оголенными руками и маленькими ножками в кружевных панталончиках и открытых башмачках, была в том милом возрасте, когда девочка уже не ребенок, а ребенок еще не девушка. Вывернувшись от отца, она подбежала к материи, не обращая никакого внимания на ее строгое замечание, спрятала свое раскрасневшееся лицо в кружевах материной мантильи и засмеялась. Она смеялась чему-то, толкуя отрывисто про куклу, которую вынула из-под юбочки.</p>	Черноглазая, с большим ртом, некрасивая, но живая девочка, с своими детскими открытыми плечиками, выскочившими из корсажа от быстрого бега, с своими сбившимися назад черными кудрями, тоненькими оголенными руками и маленькими ножками в кружевных панталончиках и открытых башмачках, была в том милом возрасте, когда девочка уже не ребенок, а ребенок еще не девушка. Вывернувшись от отца, она подбежала к материи, не обращая никакого внимания на ее строгое замечание, спрятала свое раскрасневшееся лицо в кружевах материной мантильи и засмеялась. Она смеялась чему-то, толкуя отрывисто про куклу, которую вынула из-под юбочки.	time_tom_1p_1c_8f_40
6	timeline_new_16	Полковник рассказал, что манифест об объявлении войны уже вышел в Петербурге и что экземпляр, который он сам видел, доставлен ныне курьером главнокомандующему. - И зачем нас нелегкая несет воевать с Бонапартом? - сказал Шиншин	Полковник рассказал, что манифест об объявлении войны уже вышел в Петербурге и что экземпляр, который он сам видел, доставлен ныне курьером главнокомандующему.  - И зачем нас нелегкая несет воевать с Бонапартом? - сказал Шиншин	time_tom_1p_1c_16f_66
7	timeline_new_18	- André, я тебя благословлю образом, и ты обещай мне, что никогда его не будешь снимать... Обещаешь?- Ежели он не в два пуда и шеи не оттянет... Чтобы тебе сделать удовольствие... - сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. - Очень рад, право, очень рад, мой друг,- прибавил он.	- André, я тебя благословлю образом, и ты обещай мне, что никогда его не будешь снимать... Обещаешь?  - Ежели он не в два пуда и шеи не оттянет...  Чтобы тебе сделать удовольствие... - сказал князь Андрей, но в ту же секунду, заметив огорченное выражение, которое приняло лицо сестры при этой шутке, он раскаялся. - Очень рад, право, очень рад, мой друг,- прибавил он.	time_tom_1p_1c_25f_110
8	timeline_new_20	Кутузов прошел по рядам, изредка останавливаясь и говоря по нескольку ласковых слов офицерам, которых он знал по турецкой войне, а иногда и солдатам. Поглядывая на обувь, он несколько раз грустно покачивал головой и указывал на нее австрийскому генералу с таким выражением, что как бы не упрекал в этом никого, но не мог не видеть, как это плохо. Полковой командир каждый раз при этом забегал вперед, боясь упустить слово главнокомандующего касательно полка. Сзади Кутузова, в таком расстоянии, что всякое слабо произнесенное слово могло быть услышано, шло человек двадцать свиты. Господа свиты разговаривали между собой и иногда смеялись. Ближе всех за главнокомандующим шел красивый адъютант. Это был князь Болконский.	Кутузов прошел по рядам, изредка останавливаясь и говоря по нескольку ласковых слов офицерам, которых он знал по турецкой войне, а иногда и солдатам. Поглядывая на обувь, он несколько раз грустно покачивал головой и указывал на нее австрийскому генералу с таким выражением, что как бы не упрекал в этом никого, но не мог не видеть, как это плохо. Полковой командир каждый раз при этом забегал вперед, боясь упустить слово главнокомандующего касательно полка. Сзади Кутузова, в таком расстоянии, что всякое слабо произнесенное слово могло быть услышано, шло человек двадцать свиты. Господа свиты разговаривали между собой и иногда смеялись. Ближе всех за главнокомандующим шел красивый адъютант. Это был князь Болконский.	time_tom_1p_2c_27f_120
9	timeline_new_23	Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее радостное чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова.	Князь Андрей был один из тех редких офицеров в штабе, который полагал свой главный интерес в общем ходе военного дела. Увидав Мака и услыхав подробности его погибели, он понял, что половина кампании проиграна, понял всю трудность положения русских войск и живо вообразил себе то, что ожидает армию, и ту роль, которую он должен будет играть в ней. Невольно он испытывал волнующее радостное чувство при мысли о посрамлении самонадеянной Австрии и о том, что через неделю, может быть, придется ему увидеть и принять участие в столкновении русских с французами, впервые после Суворова.	time_tom_1p_2c_28f_131
